pool,field0_hex,candidate_rank,xml_tag,files_tested,both_nonzero,nonzero_exact,all_file_exact_rate,pearson,score
others,0x0079,2,textExpressionEnclosure,375,319,4,0.0213,0.591925,0.813258
others,0x0079,3,textExprDef,375,371,2,0.0160,0.665109,0.781109
others,0x007a,1,measExprAssign,375,229,13,0.0640,0.826518,1.540518
others,0x007a,2,measSpec,375,235,60,0.1600,0.340908,1.500908
others,0x007a,3,smartShapeMeasMark,375,193,4,0.3013,0.834113,1.335446
others,0x007b,1,bookmark,375,3,3,1.0000,1.000000,2.150000
others,0x007b,2,metaStaffStyle,375,3,1,0.1547,0.010067,0.214734
others,0x007b,3,textExpressionEnclosure,375,3,1,0.1520,-0.027011,0.174989
others,0x007c,1,channelPlayData,375,195,195,1.0000,1.000000,3.000000
others,0x007c,2,partDef,375,195,126,0.3360,0.973992,2.309992
others,0x007c,3,audioUnitInfo,375,124,36,0.5520,0.539893,2.091893
others,0x007d,1,chordSuffixPlay,375,141,0,0.6240,0.999720,1.623720
others,0x007d,2,chordSuffix,375,141,0,0.6240,0.997195,1.621195
others,0x007d,3,execShape,375,141,0,0.6213,0.995345,1.616678
others,0x007e,1,chordSuffixPlay,375,141,141,1.0000,1.000000,3.000000
others,0x007e,2,chordSuffix,375,141,0,0.6240,0.995206,1.619206
others,0x007e,3,execShape,375,141,0,0.6213,0.993180,1.614514
others,0x007f,1,textExpressionEnclosure,375,134,19,0.0960,0.816809,1.862809
others,0x007f,2,clefEnum,375,173,0,0.5387,0.996591,1.535257
others,0x007f,3,measNumbRegion,375,170,20,0.0640,0.073408,1.137408
others,0x0083,1,fretInst,375,167,27,0.0720,0.923039,1.995039
others,0x0083,2,fretStyle,375,167,25,0.0667,0.918704,1.985370
others,0x0083,3,drumLibName,375,167,137,0.4293,0.210681,1.640014
others,0x0084,1,drumStaff,375,24,23,0.9973,0.996150,2.993483
others,0x0084,2,percMapRef,375,12,10,0.9520,0.269862,1.721862
others,0x0084,3,finnamFilePath,375,12,10,0.9520,0.269862,1.721862
others,0x0085,1,drumLayoutPmmRef,375,7,3,0.9547,0.109878,1.214545
others,0x0085,2,drumStaff,375,3,0,0.9253,0.095627,1.020961
others,0x0085,3,mmRest,375,3,1,0.8613,-0.008062,0.903272
others,0x0086,1,durAllot,375,375,375,1.0000,1.000000,3.000000
others,0x0086,2,hpOptions,375,372,0,0.0000,0.854718,0.854718
others,0x0086,3,staffStyle,375,369,10,0.0267,0.076434,0.603100
others,0x0088,1,execShape,375,142,142,1.0000,1.000000,3.000000
others,0x0088,2,chordSuffix,375,141,0,0.6213,0.998636,1.619970
others,0x0088,3,chordSuffixPlay,375,141,0,0.6213,0.993180,1.614514
others,0x0089,1,fileURLBookmark,375,8,8,0.9973,0.994714,2.392048
others,0x0089,2,fileAlias,375,8,8,0.9973,0.994714,2.392048
others,0x0089,3,filePath,375,8,6,0.9893,0.987217,2.276551
others,0x008a,1,filePath,375,10,10,1.0000,1.000000,2.500000
others,0x008a,2,fileDesc,375,10,10,1.0000,1.000000,2.500000
others,0x008a,3,fileURLBookmark,375,9,7,0.9920,0.992341,2.334341
others,0x008b,1,filePath,375,10,10,1.0000,1.000000,2.500000
others,0x008b,2,fileDesc,375,10,10,1.0000,1.000000,2.500000
others,0x008b,3,fileURLBookmark,375,9,7,0.9920,0.992341,2.334341
others,0x008c,1,fretboardSymbol,375,135,135,1.0000,1.000000,3.000000
others,0x008c,2,chordSuffix,375,135,0,0.6240,0.986568,1.610568
others,0x008c,3,chordSuffixPlay,375,135,0,0.6240,0.980744,1.604744
others,0x008d,1,layerAtts,375,375,375,1.0000,0.000000,2.000000
others,0x008d,2,shapeDef,375,375,106,0.2827,0.000000,1.282667
others,0x008d,3,staffSpec,375,375,83,0.2213,0.000000,1.221333
others,0x0090,1,fontName,375,375,38,0.1013,0.896012,1.997345
others,0x0090,2,metaStaffStyle,375,318,77,0.2053,0.769074,1.974408
others,0x0090,3,metaClef,375,375,33,0.0880,0.738075,1.826075
others,0x0092,1,frameSpec,375,375,273,0.7280,0.999151,2.727151
others,0x0092,2,measSpec,375,375,26,0.0693,0.378939,1.448272
others,0x0092,3,measExprAssign,375,358,9,0.0240,0.870154,1.344154
others,0x0093,1,lockMeas,375,322,322,1.0000,1.000000,3.000000
others,0x0093,2,measExprAssign,375,310,39,0.1173,0.572876,1.690209
others,0x0093,3,textExpressionEnclosure,375,276,78,0.2347,0.250872,1.485539
others,0x0094,1,fretGroup,375,139,0,0.6293,0.991787,1.621120
others,0x0094,2,chordSuffix,375,139,0,0.6240,0.995444,1.619444
others,0x0094,3,chordSuffixPlay,375,139,0,0.6240,0.993514,1.617514
others,0x0095,1,fretInst,375,375,375,1.0000,1.000000,3.000000
others,0x0095,2,fretStyle,375,375,236,0.6293,0.995379,2.624712
others,0x0095,3,metaStaffStyle,375,318,169,0.4507,0.980668,2.431335
others,0x0097,1,fretStyle,375,375,375,1.0000,1.000000,3.000000
others,0x0097,2,fretInst,375,375,236,0.6293,0.995379,2.624712
others,0x0097,3,metaStaffStyle,375,318,169,0.4507,0.990676,2.441343
others,0x0098,1,splitMeas,375,3,0,0.9893,0.968473,1.957807
others,0x0098,2,playDumpShape,375,3,0,0.6427,0.276529,0.919196
others,0x0098,3,shapeExprDef,375,3,0,0.6293,0.248447,0.877780
others,0x009a,1,fstKeyFlats,375,233,233,1.0000,1.000000,3.000000
others,0x009a,2,fstKeySharps,375,233,233,0.9973,0.977618,2.974952
others,0x009a,3,keyFormat,375,233,233,0.9947,0.540037,2.534704
others,0x009b,1,fstKeySharps,375,234,234,1.0000,1.000000,3.000000
others,0x009b,2,fstKeyFlats,375,233,233,0.9973,0.977618,2.974952
others,0x009b,3,keyFormat,375,234,234,0.9973,0.553661,2.550995
others,0x009e,1,hpOptions,375,372,372,1.0000,1.000000,3.000000
others,0x009e,2,moviePlayerState,375,372,372,0.9947,0.575804,2.570471
others,0x009e,3,playDefs,375,372,372,0.9920,0.000000,1.992000
others,0x009f,1,staffSpec,375,375,45,0.1200,0.537129,1.657129
others,0x009f,2,staffStyle,375,369,85,0.2267,0.294169,1.520836
others,0x009f,3,namePosFullStyle,375,336,85,0.2267,0.139317,1.365983
others,0x00a0,1,keyFormat,375,235,235,1.0000,1.000000,3.000000
others,0x00a0,2,fstKeySharps,375,234,234,0.9973,0.553661,2.550995
others,0x00a0,3,fstKeyFlats,375,233,233,0.9947,0.540037,2.534704
others,0x00a1,1,keyMap,375,3,3,1.0000,1.000000,2.150000
others,0x00a1,2,acciOrderSharps,375,3,2,0.9973,0.554866,1.652199
others,0x00a1,3,acciAmountSharps,375,3,2,0.9973,0.554866,1.652199
others,0x00a2,1,keysAttrib,375,136,136,1.0000,1.000000,3.000000
others,0x00a2,2,categoryStaffListName,375,43,38,0.7387,0.356773,2.095440
others,0x00a2,3,audioUnitInfo,375,132,10,0.6613,0.812018,1.973351
others,0x00a3,1,layerAtts,375,375,375,1.0000,0.000000,2.000000
others,0x00a3,2,shapeDef,375,375,106,0.2827,0.000000,1.282667
others,0x00a3,3,staffSpec,375,375,83,0.2213,0.000000,1.221333
others,0x00a4,1,measNumbRegion,375,368,368,1.0000,1.000000,3.000000
others,0x00a4,2,hpOptions,375,367,295,0.7920,0.047191,1.839191
others,0x00a4,3,moviePlayerState,375,367,295,0.7867,0.019086,1.805752
others,0x00a5,1,metaArtic,375,370,370,1.0000,1.000000,3.000000
